step 4 - 451356
step 5 - 452551
step 6 - 453749
step 7 - 454953
step 8 - 456155
idle begin - 456163
idle end - 457205
sit begin - 457219
sit end - 459179
wait begin - 460155
wait end - 461201
stand start - 461213
stand end - 465628
idle begin - 467551
idle end - 468605
walking start - 468616
step 1 - 469825
step 2 - 471041
step 3 - 472258
step 4 - 473483
step 5 - 474719
step 6 - 475954
idle begin - 475969
idle end - 476780
walking start - 476795
step 1 - 478027
step 2 - 479266
step 3 - 480501
step 4 - 481732
step 5 - 482962
step 6 - 484193
step 7 - 485417
step 8 - 486651
step 9 - 487903
step 10 - 489163
idle begin - 489171
idle end - 490444
walking start - 490459
step 1 - 491699
step 2 - 492944
step 3 - 494188
step 4 - 495423
step 5 - 496652
step 6 - 497889
step 7 - 499110
step 8 - 500333
step 9 - 501557
step 10 - 502785
step 11 - 504005
step 12 - 505229
idle begin - 505242
idle end - 506755
walking start - 506765
step 1 - 507995
step 2 - 509237
step 3 - 510523
turning start - 510527
turnstep 1 - 512196
turnstep 2 - 513954
turnstep 3 - 515788
turnstep 4 - 517621
turnstep 5 - 519358
turnstep 6 - 521325
turnstep 7 - 523364
turnstep 8 - 525394
turnstep 9 - 527364
turnstep 10 - 529255
turning end - 529266
step 4 - 530468
step 5 - 531668
step 6 - 532876
step 7 - 534082
idle begin - 534090
idle end - 534971
walking start - 534980
step 1 - 536202
step 2 - 537417
step 3 - 538633
step 4 - 539853
step 5 - 541089
step 6 - 542308
step 7 - 543529
step 8 - 544740
idle begin - 544749
idle end - 545803
walking start - 545820
step 1 - 547020
step 2 - 548223
step 3 - 549415
step 4 - 550608
step 5 - 551811
step 6 - 553005
turning start - 553011
turnstep 1 - 555061
turnstep 2 - 557108
turnstep 3 - 559169
turnstep 4 - 560964
turnstep 5 - 562786
turnstep 6 - 564522
turnstep 7 - 566284
turnstep 8 - 568037
turnstep 9 - 569953
turnstep 10 - 571682
turning end - 571691
step 7 - 572917
step 8 - 574152
step 9 - 575388
step 10 - 576619
step 11 - 577851
idle begin - 577860
idle end - 579282
walking start - 579297
step 1 - 580528
step 2 - 581757
step 3 - 582979
step 4 - 584208
step 5 - 585429
step 6 - 586659
step 7 - 587883
step 8 - 589115
step 9 - 590341
step 10 - 591568
step 11 - 592799
step 12 - 594019
step 13 - 595236
step 14 - 596452
step 15 - 597672
idle begin - 597681
idle end - 599616
walking start - 599626
step 1 - 600842
step 2 - 602113
turning start - 602119
turnstep 1 - 603859
turnstep 2 - 605672
turnstep 3 - 607487
turnstep 4 - 609307
turnstep 5 - 611035
turnstep 6 - 612771
turnstep 7 - 614509
turnstep 8 - 616228
turnstep 9 - 618451
turnstep 10 - 620583
turning end - 620594
step 3 - 621792
step 4 - 622985
step 5 - 624179
step 6 - 625372
step 7 - 626562
step 8 - 627753
step 9 - 628943
step 10 - 630121
step 11 - 631300
idle begin - 631308
idle end - 632752
walking start - 632767
step 1 - 633940
step 2 - 635116
step 3 - 636349
step 4 - 637579
step 5 - 638817
turning start - 638821
turnstep 1 - 640626
turnstep 2 - 642684
turnstep 3 - 644476
turnstep 4 - 646213
turnstep 5 - 647941
turnstep 6 - 649663
turnstep 7 - 651553
turnstep 8 - 653361
turnstep 9 - 655107
turnstep 10 - 656844
turning end - 656860
step 6 - 658092
step 7 - 659337
step 8 - 660575
idle begin - 660585
idle end - 661674
walking start - 661684
step 1 - 662923
step 2 - 664164
step 3 - 665405
step 4 - 666643
step 5 - 667887
step 6 - 669121
step 7 - 670347
step 8 - 671571
step 9 - 672795
step 10 - 674012
step 11 - 675231
step 12 - 676443
step 13 - 677672
step 14 - 678907
step 15 - 680140
idle begin - 680155
idle end - 682127
sit begin - 682139
sit end - 684044
wait begin - 685087
wait end - 686112
stand start - 686122
stand end - 690612
idle begin - 692580
idle end - 693666
walking start - 693676
step 1 - 694907
step 2 - 696131
step 3 - 697355
step 4 - 698580
step 5 - 699810
idle begin - 699819
idle end - 700447
walking start - 700459
step 1 - 701675
step 2 - 702896
step 3 - 704106
step 4 - 705314
step 5 - 706517
step 6 - 707730
idle begin - 707744
idle end - 708531
sit begin - 708545
sit end - 710506
wait begin - 711460
wait end - 712490
stand start - 712499
stand end - 716948
idle begin - 718887
idle end - 719938
walking start - 719948
step 1 - 721148
step 2 - 722338
step 3 - 723527
step 4 - 724722
step 5 - 725909
step 6 - 727092
step 7 - 728275
step 8 - 729455
step 9 - 730635
step 10 - 731818
step 11 - 733011
idle begin - 733026
idle end - 734495
walking start - 734506
step 1 - 735698
step 2 - 736892
step 3 - 738085
step 4 - 739279
step 5 - 740481
step 6 - 741682
step 7 - 742883
step 8 - 744098
turning start - 744104
turnstep 1 - 746083
turnstep 2 - 747965
turnstep 3 - 749839
turnstep 4 - 751647
turnstep 5 - 753393
turnstep 6 - 755152
turnstep 7 - 756908
turnstep 8 - 758658
turnstep 9 - 760403
turnstep 10 - 762323
turning end - 762340
step 9 - 763572
step 10 - 764818
step 11 - 766058
idle begin - 766068
idle end - 767524
walking start - 767537
step 1 - 768785
step 2 - 770026
step 3 - 771273
step 4 - 772516
step 5 - 773761
step 6 - 774995
step 7 - 776236
step 8 - 777474
step 9 - 778705
step 10 - 779941
step 11 - 781185
step 12 - 782427
step 13 - 783664
step 14 - 784907
idle begin - 784916
idle end - 786747
walking start - 786757
step 1 - 788001
step 2 - 789237
step 3 - 790482
step 4 - 791724
step 5 - 792965
step 6 - 794209
step 7 - 795452
step 8 - 796688
step 9 - 797930
step 10 - 799175
step 11 - 800416
step 12 - 801651
step 13 - 802897
step 14 - 804143
step 15 - 805391
idle begin - 805404
idle end - 807325
sit begin - 807337
sit end - 809289
wait begin - 810189
wait end - 811265
stand start - 811274
stand end - 815733
idle begin - 817642
idle end - 818740
headbutt begin - 818755
headbutt end - 823145
idle begin - 823151
idle end - 823711
walking start - 823722
step 1 - 824970
step 2 - 826218
step 3 - 827466
step 4 - 828713
step 5 - 829963
step 6 - 831211
step 7 - 832460
idle begin - 832476
idle end - 833397
walking start - 833413
step 1 - 834674
step 2 - 835932
step 3 - 837187
step 4 - 838442
step 5 - 839695
idle begin - 839708
idle end - 840354
sit begin - 840363
sit end - 842320
wait begin - 843218
wait end - 844292
stand start - 844303
stand end - 848708
idle begin - 850634
idle end - 851741
walking start - 851753
step 1 - 852994
step 2 - 854234
step 3 - 855467
step 4 - 856684
step 5 - 857896
step 6 - 859101
step 7 - 860299
step 8 - 861500
step 9 - 862688
step 10 - 863872
step 11 - 865063
step 12 - 866251
idle begin - 866260
idle end - 867804
sit begin - 867813
sit end - 869749
wait begin - 870708
wait end - 871760
stand start - 871777
stand end - 876148
idle begin - 878060
idle end - 879136
walking start - 879148
step 1 - 880379
step 2 - 881602
step 3 - 882819
turning start - 882825
turnstep 1 - 884571
turnstep 2 - 886303
turnstep 3 - 888049
turnstep 4 - 889771
turnstep 5 - 891515
turnstep 6 - 893279
turnstep 7 - 895052
turnstep 8 - 896836
turnstep 9 - 898593
turnstep 10 - 900416
turning end - 900428
step 4 - 901647
step 5 - 902875
step 6 - 904105
step 7 - 905346
step 8 - 906581
step 9 - 907821
idle begin - 907836
idle end - 909025
walking start - 909036
step 1 - 910283
step 2 - 911530
step 3 - 912780
step 4 - 914033
step 5 - 915279
step 6 - 916530
step 7 - 917793
step 8 - 919048
step 9 - 920300
step 10 - 921555
step 11 - 922802
step 12 - 924047
step 13 - 925308
step 14 - 926561
idle begin - 926571
idle end - 928415
walking start - 928426
step 1 - 929681
step 2 - 930932
step 3 - 932188
step 4 - 933441
step 5 - 934697
turning start - 934703
turnstep 1 - 936458
turnstep 2 - 938194
turnstep 3 - 940005
turnstep 4 - 942235
turnstep 5 - 944273
turnstep 6 - 946315
turnstep 7 - 948191
turnstep 8 - 949892
turnstep 9 - 951698
turnstep 10 - 953493
turning end - 953508
step 6 - 954725
step 7 - 955944
step 8 - 957164
step 9 - 958379
step 10 - 959595
step 11 - 960817
step 12 - 962034
step 13 - 963261
step 14 - 964479
idle begin - 964488
idle end - 966267
walking start - 966279
step 1 - 967497
step 2 - 968716
step 3 - 969937
step 4 - 971154
step 5 - 972368
step 6 - 973578
step 7 - 974793
step 8 - 976005
step 9 - 977212
idle begin - 977221
idle end - 978354
walking start - 978371
step 1 - 979569
step 2 - 980756
step 3 - 981949
step 4 - 983132
turning start - 983139
turnstep 1 - 985280
turnstep 2 - 987163
turnstep 3 - 988892
